"carat","cut","color","clarity","depth","table","price","x","y","z"
0.7,"Very Good","G","SI1",62.2,58,2095,5.63,5.66,3.51
0.31,"Ideal","F","VS2",61.9,57,749,4.34,4.32,2.68
1.01,"Ideal","G","VS2",62.1,57,6734,6.4,6.45,3.99
2,"Good","G","SI2",64.2,60,9999,7.89,7.81,5.04
0.73,"Ideal","H","SI1",62.9,56,2269,5.79,5.75,3.63
0.32,"Ideal","F","VS2",62.8,57,828,4.36,4.33,2.73
0.35,"Ideal","D","VVS1",60.6,56,1330,4.58,4.59,2.78
0.5,"Ideal","E","VS2",61.5,55,1554,5.11,5.16,3.16
1,"Premium","F","SI2",61.7,58,3858,6.36,6.32,3.91
1.02,"Very Good","I","SI2",63.2,60,4155,6.37,6.41,4.04
1.23,"Premium","F","VS2",62.9,58,8486,6.82,6.76,4.27
0.27,"Ideal","E","VVS2",62.2,55,799,4.17,4.12,2.58
0.92,"Very Good","D","SI2",60.2,61,3057,6.27,6.32,3.79
0.7,"Premium","E","SI1",62,60,2444,5.72,5.67,3.53
0.34,"Premium","J","VS2",62.3,60,536,4.49,4.46,2.79
1,"Very Good","F","VS1",58.4,63,6021,6.58,6.47,3.81
0.3,"Ideal","H","VVS2",61.1,55,605,4.32,4.36,2.65
0.8,"Good","G","VS2",64.2,58,2753,5.84,5.81,3.74
1.31,"Premium","I","SI1",63,57,5869,6.96,6.91,4.37
1.06,"Ideal","F","SI1",62.2,57,5613,6.52,6.5,4.05
1.37,"Premium","E","SI2",61,57,6751,7.25,7.19,4.4
0.32,"Ideal","D","SI2",61.1,56,612,4.41,4.39,2.69
0.7,"Ideal","F","SI1",62.6,57,2453,5.59,5.62,3.51
0.71,"Good","I","SI1",63.6,63,1774,5.64,5.61,3.58
0.41,"Ideal","I","IF",61.8,55,930,4.77,4.81,2.96
0.59,"Premium","D","VVS2",62.6,58,2515,5.34,5.4,3.36
0.51,"Ideal","D","VS2",61.9,57,1882,5.13,5.11,3.17
0.51,"Very Good","E","SI2",63,56,1067,5.12,5.14,3.23
0.41,"Very Good","D","VS1",63.4,56,991,4.7,4.76,3
1.01,"Premium","F","SI1",60.3,58,4829,6.53,6.61,3.96
1.2,"Very Good","H","SI1",62.4,57,5868,6.76,6.8,4.23
0.33,"Ideal","E","VVS1",62.2,54,906,4.46,4.48,2.78
0.8,"Ideal","F","VS2",62.7,54,3369,5.95,5.91,3.72
0.7,"Very Good","I","VS1",62.2,57,2332,5.69,5.72,3.55
1.01,"Very Good","G","VS2",61.9,56,6105,6.34,6.42,3.95
0.33,"Ideal","D","VS2",62.1,54,1002,4.46,4.43,2.76
0.34,"Ideal","F","VVS1",61.4,55,919,4.52,4.54,2.78
0.7,"Premium","G","VS1",58.3,58,2459,5.9,5.86,3.43
0.45,"Fair","F","SI1",66.8,59,794,4.79,4.63,3.16
0.37,"Premium","H","VVS2",61.3,58,746,4.6,4.63,2.83
1.24,"Very Good","G","SI2",60.5,60,6354,6.93,7.01,4.22
0.82,"Premium","H","SI1",59.9,57,2721,6.11,6.07,3.65
0.47,"Very Good","G","SI1",62.8,56,1133,4.96,4.93,3.11
0.66,"Very Good","F","SI2",61.6,54,1311,5.62,5.64,3.47
1.11,"Premium","G","SI2",62.5,57,3804,6.54,6.49,4.07
0.33,"Ideal","G","IF",61.7,58,968,4.42,4.46,2.74
1.2,"Premium","F","VVS2",62.8,60,10580,6.79,6.74,4.25
0.83,"Premium","F","VS2",61.9,58,3408,6.05,6.01,3.73
0.34,"Good","G","VVS2",58,61,826,4.56,4.58,2.65
1.51,"Good","G","VVS2",63.8,59,13155,7.24,7.28,4.63
1.06,"Very Good","F","SI1",62.3,56,4995,6.5,6.57,4.07
0.38,"Ideal","I","VS1",61.5,53.9,703,4.66,4.7,2.89
0.43,"Ideal","I","VVS1",60.6,57,1120,4.88,4.94,2.97
0.57,"Premium","F","SI2",60.7,59,1746,5.38,5.33,3.25
0.5,"Ideal","H","SI1",61.9,56,1446,5.08,5.13,3.16
0.5,"Good","J","SI1",63.2,55,912,5.03,5.07,3.19
0.32,"Premium","G","VS2",59.8,59,720,4.52,4.48,2.69
1.14,"Ideal","H","SI1",61.5,55,7079,6.72,6.75,4.14
0.3,"Ideal","G","VS1",62.2,55,605,4.28,4.31,2.67
1.12,"Ideal","G","VS2",62.2,54,6774,6.65,6.62,4.13
0.37,"Ideal","F","SI1",61.6,56,746,4.61,4.65,2.85
0.4,"Ideal","D","SI1",59.6,57,772,4.77,4.82,2.86
0.51,"Very Good","E","SI1",63,58,1330,4.99,5.08,3.17
1.5,"Very Good","I","VS1",62.2,59,10164,7.27,7.3,4.53
1.08,"Premium","G","VS1",62.9,55,6982,6.6,6.53,4.13
0.44,"Good","F","SI2",56.6,63,974,5.11,5.06,2.88
0.51,"Good","E","VVS2",60.7,57.7,2523,5.17,5.19,3.14
0.3,"Good","G","VS2",58.5,64,648,4.42,4.37,2.57
0.41,"Ideal","E","VS1",61.4,55,1007,4.8,4.84,2.96
0.3,"Good","G","VVS2",63.8,56,878,4.29,4.27,2.73
1.16,"Fair","G","SI2",60.1,60,4307,6.9,6.72,4.09
0.9,"Very Good","G","VS2",62.4,61,4210,6.13,6.17,3.84
0.91,"Premium","G","VS1",62.2,58,4459,6.22,6.12,3.85
1.09,"Ideal","F","VVS2",62,56,10196,6.63,6.6,4.1
0.71,"Ideal","I","VVS1",62.6,57,2559,5.66,5.69,3.55
0.7,"Premium","H","VVS2",59.6,59,2717,5.83,5.78,3.46
1.51,"Premium","H","VS1",61,60,11263,7.34,7.29,4.46
0.54,"Ideal","I","SI1",61.4,56,1114,5.25,5.27,3.23
1.22,"Ideal","H","SI2",61.7,56,5807,6.91,6.83,4.24
0.28,"Very Good","E","VS1",60.2,58,487,4.23,4.27,2.56
0.51,"Very Good","E","SI2",60.3,56,1098,5.19,5.22,3.14
0.37,"Premium","I","VVS1",61.6,59,681,4.62,4.66,2.86
1.53,"Good","J","SI2",64.1,58,6368,7.3,7.18,4.64
0.6,"Ideal","F","VS2",60.9,55,2099,5.49,5.51,3.34
1.61,"Premium","J","VS2",61.7,59,7844,7.51,7.46,4.62
0.4,"Premium","E","VVS2",60.8,59,1056,4.77,4.73,2.89
1.38,"Ideal","G","SI2",61.4,55,7094,7.2,7.17,4.41
1.24,"Ideal","I","SI2",60.7,57,4812,6.98,6.92,4.22
1.52,"Fair","G","VS2",55.2,66,10623,7.72,7.67,4.26
0.71,"Very Good","J","SI1",59.2,58,1932,5.86,5.9,3.48
0.3,"Premium","E","SI1",62.3,58,675,4.32,4.29,2.68
2.55,"Good","H","SI2",63.7,59,14775,8.66,8.57,5.49
0.35,"Ideal","D","VS2",60.6,56,1063,4.57,4.54,2.76
0.9,"Good","D","SI2",59.5,62,3798,6.2,6.23,3.7
0.31,"Good","I","VS1",63.5,57,489,4.26,4.28,2.71
0.54,"Ideal","F","SI2",61,56,1173,5.24,5.29,3.21
1.8,"Ideal","D","SI2",62.9,54,7862,7.77,7.74,4.88
2.03,"Very Good","I","VS2",59.9,57,17297,8.14,8.25,4.91
0.31,"Good","H","VS1",63.6,55,698,4.32,4.29,2.74
1.13,"Ideal","G","VS2",62.7,56,7016,6.65,6.61,4.16
0.31,"Ideal","D","SI2",62.1,57,593,4.34,4.32,2.69
0.9,"Very Good","E","SI1",61.6,57,4463,6.19,6.25,3.83
0.61,"Ideal","D","SI1",62.1,55,1752,5.42,5.43,3.37
0.31,"Ideal","F","VS2",60.8,57,625,4.36,4.39,2.66
1.23,"Ideal","I","SI1",62.1,58,5600,6.82,6.86,4.25
0.5,"Premium","F","VS2",60.6,61,1433,5.13,5.1,3.1
1.58,"Ideal","H","VS2",62.7,56,11365,7.44,7.39,4.65
0.3,"Premium","G","VVS1",61.8,59,1013,4.33,4.28,2.66
0.36,"Ideal","G","VS2",60.6,56,664,4.62,4.67,2.81
0.52,"Ideal","F","VVS1",61.9,55,2251,5.17,5.2,3.21
0.38,"Ideal","F","VVS2",62,55,963,4.66,4.7,2.9
2.34,"Premium","I","I1",61.5,60,8491,8.47,8.43,5.2
0.34,"Good","H","VS2",63.7,57,689,4.44,4.42,2.82
0.31,"Ideal","F","VVS1",61.1,55,840,4.38,4.39,2.68
1.01,"Ideal","G","VS2",62.7,56,6108,6.43,6.39,4.02
0.5,"Ideal","E","VS2",61.4,56,1629,5.12,5.08,3.13
0.7,"Ideal","G","VVS1",61.6,57,3763,5.69,5.73,3.52
0.32,"Ideal","H","VS1",62.7,56,524,4.39,4.42,2.76
0.52,"Ideal","D","VS2",61.9,57,1822,5.14,5.17,3.19
0.7,"Ideal","H","SI1",61.4,56,2815,5.72,5.77,3.53
0.33,"Ideal","I","IF",61.7,55,675,4.45,4.49,2.76
1.22,"Ideal","H","VS1",62.7,55,5773,6.82,6.73,4.25
0.61,"Ideal","F","VS2",61.5,54,2306,5.48,5.51,3.38
0.7,"Very Good","I","VVS2",60.1,63,2415,5.81,5.74,3.47
0.31,"Ideal","F","VVS1",61.8,56,897,4.34,4.36,2.69
1.5,"Premium","F","SI1",62.8,56,11154,7.36,7.3,4.6
0.4,"Ideal","I","VS1",61.2,56,736,4.76,4.82,2.93
1.16,"Ideal","F","VVS2",60.5,57,11120,6.8,6.86,4.13
0.31,"Ideal","F","VVS1",60.4,59,779,4.35,4.43,2.65
0.71,"Premium","E","VVS1",61.8,56,3936,5.71,5.68,3.52
1.1,"Good","G","SI2",60.5,61,4457,6.69,6.74,4.06
1.06,"Fair","I","I1",64.5,57,2239,6.47,6.33,4.13
0.35,"Ideal","D","VS2",62.4,55,829,4.48,4.52,2.81
0.38,"Ideal","E","VVS2",62,57,1030,4.64,4.69,2.89
0.33,"Ideal","G","VVS2",61.7,56,965,4.46,4.42,2.74
0.43,"Good","D","VS2",59.9,61,976,4.84,4.88,2.91
0.71,"Very Good","G","SI1",61.7,56,2334,5.7,5.74,3.53
0.3,"Premium","D","SI1",62.1,58,709,4.28,4.25,2.65
0.3,"Very Good","G","VVS1",62.5,56,753,4.25,4.29,2.67
0.37,"Ideal","E","VS1",61.2,56,1124,4.67,4.64,2.85
0.79,"Ideal","H","VS2",62,56,2967,5.91,5.93,3.67
0.3,"Ideal","D","SI1",62.5,57,709,4.32,4.29,2.69
1,"Very Good","H","VS2",63,59,4842,6.43,6.34,4.02
1.07,"Premium","G","SI2",62.2,58,3545,6.56,6.49,4.06
0.36,"Ideal","E","SI1",62.9,56,810,4.57,4.52,2.86
1.11,"Ideal","F","VS2",61.8,56,9057,6.66,6.7,4.13
0.52,"Ideal","E","VS2",61.3,55,1767,5.22,5.19,3.19
1.01,"Premium","G","SI2",61.9,60,4525,6.37,6.33,3.93
0.4,"Ideal","I","VVS2",62.2,55,939,4.72,4.76,2.95
2.13,"Premium","H","SI2",62.4,56,12753,8.26,8.19,5.13
0.25,"Ideal","E","VVS2",61.6,57,576,4.08,4.1,2.52
1.08,"Ideal","G","VS1",62,55,6779,6.62,6.57,4.09
2.07,"Premium","I","VS2",61.2,58,18193,8.18,8.2,5.01
0.71,"Good","I","SI1",59.9,65,2165,5.71,5.74,3.43
0.91,"Premium","E","I1",59.6,59,2464,6.29,6.32,3.76
0.41,"Premium","F","SI2",60.9,58,784,4.82,4.8,2.93
0.33,"Premium","G","VS1",61.8,59,666,4.39,4.45,2.73
1.05,"Premium","D","SI1",61.6,61,5351,6.55,6.5,4.02
1.5,"Very Good","G","SI1",61.5,59,9645,7.31,7.39,4.52
1.21,"Premium","J","SI2",60.8,58,3984,6.93,6.88,4.19
0.3,"Ideal","G","IF",61.6,53,863,4.32,4.35,2.67
0.36,"Premium","D","VS2",59.1,58,1094,4.68,4.63,2.75
0.7,"Premium","G","SI1",59.1,59,2042,5.77,5.83,3.43
1.51,"Premium","E","VS2",62.2,59,14709,7.36,7.4,4.59
0.32,"Very Good","F","SI2",63.1,56,540,4.38,4.34,2.75
0.41,"Ideal","F","IF",61.4,58,1439,4.78,4.83,2.95
1,"Very Good","E","VS2",62.6,60,6518,6.35,6.4,3.99
1.35,"Ideal","D","VS2",61.3,57,10796,7.13,7.09,4.36
1.21,"Ideal","H","VS2",62.8,55,5882,6.79,6.74,4.25
0.71,"Premium","G","SI2",62.3,55,1977,5.72,5.68,3.55
0.9,"Very Good","G","SI2",61.4,58,3489,6.16,6.21,3.8
1.35,"Very Good","J","SI1",61.1,61,5613,7.1,7.13,4.35
0.32,"Premium","E","SI1",60.2,60,561,4.39,4.44,2.66
0.71,"Ideal","F","VS1",61.8,55,3710,5.71,5.73,3.54
0.38,"Very Good","F","SI2",60.1,60,644,4.7,4.75,2.84
1.28,"Very Good","G","VS1",59.2,57,8895,7.05,7.13,4.2
0.54,"Good","D","SI1",57.9,60,1767,5.36,5.39,3.11
1.01,"Premium","F","SI1",59.8,60,5345,6.57,6.53,3.92
1.02,"Good","I","SI1",64.2,53,3998,6.3,6.26,4.03
0.33,"Ideal","E","VS2",61.5,57,928,4.47,4.41,2.73
0.25,"Very Good","E","VVS2",62.2,61,548,3.98,4.03,2.49
0.54,"Ideal","G","VS1",60.1,57,1957,5.29,5.31,3.18
1.07,"Premium","H","SI1",61.5,57,5123,6.63,6.55,4.05
1.03,"Premium","H","I1",61.1,60,3172,6.46,6.51,3.96
0.31,"Ideal","D","SI1",62,56,533,4.35,4.39,2.71
1.23,"Ideal","F","VS2",61.7,57,9376,6.9,6.94,4.27
0.97,"Good","I","VS2",64.5,61,4355,6.16,6.21,3.99
0.44,"Ideal","G","VVS1",61.8,55,1235,4.86,4.91,3.02
0.49,"Premium","G","VS2",59.8,59,1240,5.16,5.14,3.08
0.34,"Ideal","G","VS2",61.4,57,596,4.48,4.51,2.76
1.8,"Premium","I","SI2",61.8,59,8457,7.9,7.8,4.85
0.3,"Ideal","H","VS1",62.9,56,675,4.27,4.22,2.67
0.64,"Good","F","IF",58.6,61,2980,5.69,5.71,3.34
0.5,"Very Good","D","SI1",61.9,61,1436,5.09,5.12,3.16
0.42,"Premium","F","VS1",60.9,59,1103,4.85,4.8,2.94
1.01,"Good","F","SI2",65.7,58,4049,6.12,6.2,4.05
0.71,"Ideal","I","IF",61.5,56,2925,5.74,5.77,3.54
1.08,"Very Good","E","SI2",59.8,59,4415,6.65,6.73,4
0.3,"Ideal","D","VS2",62.5,57,911,4.29,4.25,2.67
0.51,"Premium","G","VVS2",59.1,59,1974,5.21,5.18,3.07
0.52,"Very Good","G","VS2",59.2,57,1423,5.28,5.37,3.15
0.3,"Premium","I","SI1",61.4,58,506,4.33,4.3,2.65
0.42,"Premium","G","VS1",60.9,58,921,4.81,4.84,2.94
0.39,"Ideal","D","SI1",60.6,55,729,4.73,4.78,2.88
0.4,"Ideal","H","VVS1",62.2,55,1088,4.75,4.7,2.94
0.52,"Very Good","G","SI1",63.5,58,1170,5.14,5.1,3.25
0.31,"Very Good","F","VS2",60.7,61,583,4.36,4.4,2.66
0.63,"Premium","E","VS1",61.8,60,2064,5.51,5.49,3.4
1.05,"Premium","J","VS1",60,60,4116,6.46,6.43,4
1.5,"Premium","F","VS2",61.1,58,14071,7.33,7.36,4.49
0.9,"Very Good","E","SI2",58.7,63,2930,6.23,6.2,3.65
1.1,"Very Good","I","SI2",60.5,59,4202,6.65,6.71,4.04
1.53,"Premium","D","SI2",60.7,60,11078,7.45,7.41,4.51
0.93,"Premium","H","SI1",61.8,59,3750,6.27,6.23,3.86
0.31,"Ideal","E","VS2",61.5,55,872,4.41,4.37,2.7
0.37,"Very Good","D","SI1",62.2,58,681,4.58,4.62,2.86
0.91,"Premium","E","SI2",62.8,59,3898,6.16,6.13,3.86
0.38,"Very Good","I","VVS1",62.6,59,630,4.6,4.64,2.89
0.73,"Premium","I","VS2",59.7,59,2246,5.81,5.94,3.51
0.72,"Premium","F","SI1",59.3,59,2360,5.85,5.81,3.46
0.32,"Very Good","F","VVS2",61.8,60,786,4.36,4.41,2.71
1.06,"Premium","H","VS2",62.6,58,5889,6.54,6.49,4.08
0.58,"Ideal","E","SI1",61.5,55,1758,5.39,5.34,3.3
0.32,"Ideal","G","VVS1",61.2,56,814,4.42,4.44,2.71
1.27,"Very Good","I","VS2",62.4,58,6443,6.83,6.89,4.28
1.56,"Ideal","G","VS1",61.3,56,16052,7.48,7.44,4.57
0.35,"Ideal","E","VS2",61.7,55,767,4.54,4.57,2.81
0.26,"Ideal","H","VS1",61.8,56,448,4.12,4.14,2.55
1.3,"Premium","H","SI1",62.9,60,5671,6.95,6.88,4.35
1.01,"Ideal","D","VVS1",62.5,55,11767,6.44,6.39,4.01
2.03,"Ideal","I","SI1",62.9,55,11472,8.11,8.04,5.08
0.5,"Ideal","D","SI1",62.6,57,1654,5.1,5.06,3.18
2.01,"Ideal","H","SI2",61.9,57,14040,8.09,8.06,5
0.32,"Good","H","SI1",63.1,55,449,4.34,4.37,2.75
1.02,"Ideal","F","VS2",62.7,57,6614,6.44,6.47,4.05
0.51,"Ideal","G","VVS2",62.7,55,1976,5.08,5.1,3.19
1.24,"Very Good","E","VS1",62,58,10185,6.9,6.96,4.3
0.9,"Good","G","IF",61.8,61,5855,6.12,6.17,3.8
1,"Good","E","SI2",61.5,61,4258,6.35,6.43,3.93
0.72,"Ideal","H","VVS1",61.8,55,3180,5.74,5.78,3.56
0.36,"Very Good","F","VVS2",61.6,55,872,4.58,4.6,2.83
0.3,"Ideal","H","VS2",62.3,56,491,4.29,4.31,2.68
0.4,"Premium","G","SI1",62,59,702,4.71,4.74,2.93
1.03,"Ideal","D","SI2",61.8,54,5105,6.52,6.46,4.01
0.58,"Very Good","G","SI1",59.3,58,1408,5.41,5.52,3.24
1.58,"Ideal","E","SI1",61,57,13434,7.5,7.55,4.59
0.31,"Ideal","D","SI1",62,55,732,4.38,4.36,2.71
2,"Very Good","I","SI1",62.9,59.2,15081,7.95,8.08,5.05
0.7,"Very Good","G","SI1",63.3,57,2088,5.58,5.63,3.55
0.41,"Ideal","D","SI1",61.9,55,744,4.77,4.8,2.96
0.4,"Premium","E","VS1",62.4,54,1125,4.75,4.71,2.95
0.7,"Good","E","SI1",57.5,62,2498,5.81,5.85,3.35
0.34,"Ideal","E","IF",62,56,1243,4.5,4.47,2.78
1.71,"Ideal","G","VS2",61.8,57,16817,7.7,7.6,4.73
2.22,"Very Good","J","SI2",61.2,63,10662,8.33,8.23,5.07
0.55,"Ideal","F","SI1",61.7,56.4,1598,5.26,5.3,3.25
1.01,"Premium","F","SI2",58.8,61,4468,6.53,6.46,3.82
1.2,"Premium","H","VS2",62.4,59,6416,6.73,6.69,4.19
0.32,"Premium","G","VS2",62.4,59,720,4.36,4.33,2.71
0.43,"Ideal","E","SI1",62.3,57,792,4.78,4.82,2.99
0.39,"Ideal","F","SI2",62.2,55,587,4.68,4.71,2.92
1,"Very Good","G","VVS2",62.7,57,7950,6.32,6.37,3.98
1.04,"Ideal","H","VS1",62.5,53,6368,6.5,6.52,4.07
1.51,"Premium","F","SI2",59.9,58,9471,7.53,7.46,4.49
1,"Good","E","SI1",58.2,61,5330,6.53,6.57,3.81
1.57,"Premium","I","SI2",62.2,60,6401,7.43,7.36,4.6
0.34,"Ideal","E","VS1",61,57,1033,4.52,4.49,2.75
1.05,"Very Good","G","SI2",63.5,57,4427,6.39,6.43,4.07
0.32,"Premium","H","VS1",61.7,58,561,4.38,4.44,2.72
0.7,"Very Good","G","VS1",62.3,58,2631,5.63,5.67,3.52
0.32,"Ideal","I","VS2",62.3,55,466,4.39,4.41,2.74
1.26,"Good","J","VS2",63.2,57.3,5211,6.81,6.86,4.32
0.4,"Ideal","F","VVS1",62.5,57,1263,4.72,4.75,2.96
0.23,"Very Good","G","VVS2",60.4,58,354,3.97,4.01,2.41
0.52,"Very Good","E","SI1",62.8,57,1369,5.09,5.13,3.21
0.3,"Ideal","G","VVS2",61.4,57,665,4.29,4.31,2.64
0.71,"Very Good","J","VS2",62.3,57,1930,5.65,5.69,3.53
0.37,"Premium","E","SI1",61.8,58,649,4.59,4.64,2.85
2.28,"Ideal","I","SI2",62.9,57,16187,8.41,8.34,5.27
0.31,"Good","H","VVS1",63.7,56,612,4.3,4.33,2.75
0.37,"Ideal","G","VS2",62.2,57,833,4.64,4.59,2.87
0.91,"Very Good","D","SI2",60.8,58,3910,6.26,6.31,3.82
2.01,"Good","G","SI1",60.8,61,18077,7.99,8.09,4.89
0.33,"Ideal","E","VVS2",61.7,57,1114,4.44,4.41,2.73
0.7,"Premium","F","VS2",61.8,60,2818,5.69,5.64,3.5
0.7,"Very Good","G","SI2",59,62,2872,5.79,5.81,3.42
1.5,"Premium","E","VS2",61.8,59,14925,7.38,7.31,4.54
1.5,"Very Good","D","SI1",62.7,59,11442,7.21,7.24,4.53
1.17,"Premium","H","VS2",62.4,57,6163,6.74,6.69,4.19
0.53,"Premium","F","SI2",62.5,57,1242,5.17,5.11,3.21
0.7,"Premium","F","VS1",59,59,2874,5.79,5.77,3.41
0.24,"Ideal","F","VVS2",62.4,55,526,3.99,4.02,2.5
0.44,"Premium","D","SI1",61.9,59,1089,4.9,4.86,3.02
0.33,"Ideal","G","VS1",61.9,55,666,4.41,4.44,2.74
0.6,"Fair","G","SI1",65.7,55,1197,5.31,5.23,3.46
0.53,"Ideal","F","VVS2",60.8,56,2160,5.22,5.24,3.18
1.52,"Ideal","G","SI1",60.3,57,11105,7.47,7.51,4.52
0.23,"Good","E","VVS2",64.5,55,472,3.85,3.9,2.5
0.31,"Ideal","H","VS2",62.1,53.8,502,4.33,4.37,2.7
0.38,"Very Good","E","SI1",58.3,61,640,4.75,4.86,2.8
0.3,"Premium","I","SI1",61.6,59,506,4.34,4.29,2.66
1,"Good","G","SI2",58.1,65,3541,6.48,6.46,3.76
0.4,"Ideal","I","IF",62.4,56,1050,4.73,4.7,2.94
0.92,"Very Good","E","SI1",62.1,58,4562,6.15,6.22,3.84
1.22,"Ideal","F","VVS2",62.2,54,11870,6.83,6.87,4.26
0.38,"Ideal","F","I1",62.5,57,638,4.64,4.61,2.89
0.8,"Premium","F","SI2",61.7,58,2762,5.98,5.94,3.68
0.3,"Ideal","G","VVS1",60.9,56.8,735,4.34,4.38,2.65
0.8,"Premium","H","SI1",62.5,59,2553,5.96,5.91,3.71
0.51,"Ideal","F","VS1",61.7,54,1744,5.14,5.17,3.18
1.01,"Premium","D","SI1",61.5,61,5644,6.47,6.37,3.95
1.07,"Ideal","J","VS2",61.7,58,4686,6.58,6.55,4.05
0.41,"Ideal","F","VVS2",62.5,56,1115,4.72,4.75,2.96
0.9,"Premium","I","IF",62.6,59,4516,6.15,6.12,3.84
0.7,"Fair","G","SI2",58.6,56,2208,5.8,5.74,3.38
1,"Ideal","I","SI1",61.5,57,4649,6.39,6.43,3.94
0.59,"Ideal","G","SI1",61.5,57,1437,5.36,5.4,3.31
0.3,"Premium","H","SI2",60.9,59,473,4.35,4.32,2.64
0.4,"Ideal","D","VS2",62.1,53,890,4.77,4.8,2.97
0.23,"Very Good","D","VS2",62.9,57,402,3.92,3.97,2.48
1.52,"Premium","G","VS1",61.9,58,14424,7.38,7.35,4.56
0.38,"Ideal","D","VVS1",61.3,56,1400,4.65,4.71,2.87
0.57,"Ideal","F","VS1",61.3,56,2039,5.35,5.36,3.28
0.63,"Fair","E","SI1",64.6,57.7,1952,5.36,5.41,3.47
0.7,"Very Good","H","VVS1",60.5,60,2788,5.74,5.77,3.48
1,"Very Good","G","VVS2",60.5,62,7260,6.39,6.44,3.88
0.37,"Premium","F","VS2",59.7,62,894,4.7,4.68,2.8
0.56,"Ideal","H","VS1",61.8,55,1616,5.3,5.34,3.29
1.7,"Ideal","I","VS1",61.9,55,12996,7.65,7.72,4.75
0.57,"Ideal","H","SI2",62.3,56,1077,5.31,5.28,3.3
0.71,"Very Good","I","SI1",62.9,59,2008,5.66,5.7,3.57
